MACHINENAME,FACTORYNAME,PMS_MACHINEGROUPNAME,AREANAME,SUPERMACHINENAME,DESCRIPTION
C1RUB01_RB2,CELL,,BC1RUB01,C1RUB01,CF Rubbing Machine
C1RUB01,CELL,GC1RUB01,BC1RUB01,,摩擦
C1RUB02,CELL,GC1RUB01,BC1RUB01,,摩擦
C1RUB02_LD1,CELL,,BC1RUB01,C1RUB02,Loader Index
C1RUB02_UD1,CELL,,BC1RUB01,C1RUB02,Unloader Index
C1RUB03,CELL,GC1RUB01,BC1RUB01,,摩擦
C1RUB02_RB1,CELL,,BC1RUB01,C1RUB02,配向摩擦设备
C1RUB01_LD1,CELL,,BC1RUB01,C1RUB01,Loader Index
C1RUB01_RB1,CELL,,BC1RUB01,C1RUB01,TFT Rubbing Machine
C1RUB01_IN1,CELL,,BC1RUB01,C1RUB01,Stream Inspection
C1RUB01_UD1,CELL,,BC1RUB01,C1RUB01,Unloader Index
C1RUB03_LD1,CELL,,BC1RUB01,C1RUB03,Loader Index
C1RUB03_UD1,CELL,,BC1RUB01,C1RUB03,Unloader Index
C1RUB03_RB1,CELL,,BC1RUB01,C1RUB03,光配向
C1RUB03_CY1,CELL,,BC1RUB01,C1RUB03,conveyor
C1RUB03_OV1,CELL,,BC1RUB01,C1RUB03,OVEN
C1RUB03_BF1,CELL,,BC1RUB01,C1RUB03,BUFFER
C1ODF02_OV1,CELL,,BC1ODF01,C1ODF02,Align Checker
C1RUB02_LD1_RT1,CELL,,BC1RUB01,C1RUB02_LD1,Loader Robot
C1RUB02_UD1_RT1,CELL,,BC1RUB01,C1RUB02_UD1,Unloader Robot
C1RUB02_RB1_RT1,CELL,,BC1RUB01,C1RUB02_RB1,Robot #1
C1RUB01_LD1_RT1,CELL,,BC1RUB01,C1RUB01_LD1,Loader Robot
C1PIL01,CELL,GC1PIL01,BC1PIL01,,PI Printing
C1RUB01_RB1_PU1,CELL,,BC1RUB01,C1RUB01_RB1,Pinup #1
F1RGB01_GR1_UV1,CF,,BF1RGB01,F1RGB01_GR1,CF RGB线 GREEN_UV Asher
C1RUB01_RB1_RT1,CELL,,BC1RUB01,C1RUB01_RB1,Robot  #1(near Loader)
C1RUB01_RB1_PU2,CELL,,BC1RUB01,C1RUB01_RB1,Pingup #2
C1RUB01_RB1_RB1,CELL,,BC1RUB01,C1RUB01_RB1,Rubbing #1
C1RUB01_RB1_RT2,CELL,,BC1RUB01,C1RUB01_RB1,Rubbing #2
A1CVD04_CV1_CHF,ARRAY,,BA1CVD02,A1CVD04_CV1,Chamber F
C1RUB01_RB1_RB2,CELL,,BC1RUB01,C1RUB01_RB1,Rubbing #2
